Artist,AlbumTitle,SongTitle,SongYear
Yeah Yeah Yeahs,It's Blitz!,Heads Will Roll,2022
Valerie Broussard,A Little Wicked,A Little Wicked,2022
The Real Tuesday Weld,The Last Werewolf,Me and Mr Wolf,2022
The Ready Set,Feel Good Now,Killer,2022
That Handsome Devil,"The Heart Goes to Heaven, The Head Goes to Hell",Charlie's Inferno,2022
St. Vincent,MASSEDUCTION,Los Ageless,2022
"Silvastone, BELLSAINT",Full Moon Tonight (feat. Bellsaint),Full Moon Tonight (feat. Bellsaint),2022
Shiggy Jr.,KICK UP!! E.P.,Sun is coming up,2022
Shadrow,Never Be Alone,Never Be Alone,2022
"Set It Off, Ash Costello",Cinematics (Expanded Edition),Partners in Crime (feat. Ash Costello),2022
Set It Off,Duality,Wolf in Sheep's Clothing (feat. William Beckett),2022
Sarah Brightman,Repo! The Genetic Opera (Original Motion Picture Soundtrack),Chromaggia,2022
Sabrina Carpenter,In My Bed,In My Bed,2022
Royal & the Serpent,Overwhelmed,overwhelmed,2022
"Mystery Skulls, Nile Rodgers, Brandy",Forever,Magic (feat. Nile Rodgers and Brandy),2022
"Mike Shpanky Ross, Skeleton Crew",Monster Mash (Remixes),Monster Mash (Mike's Main Radio Mix),2022
Mad Tsai,killer queen,killer queen,2022
Lady Gaga,The Fame,Paparazzi,2022
"Kim Petras, Elvira, Mistress of theDark",TURN OFF THE LIGHT,Turn Off The Light,2022
Kim Petras,TURN OFF THE LIGHT,Everybody Dies,2022
Kim Petras,TURN OFF THE LIGHT,There Will Be Blood,2022
Gin Wigmore,Gravel & Wine,Kill Of The Night,2022
DJ Link,Love,I Got No Time,2022
BOKKA,Life On Planet B,Secret Void,2022
"Black Gryph0n, Baasik",Insane,Insane,2022
Anamanaguchi,Endless Fantasy,Prom Night,2022
AG,Terrible Thing,Terrible Thing,2022
